Date,DailyTests,DailyConfirmed,DailyDeaths,DailyRecovered,Tests,Confirmed,Deaths,Recovered,Pneumonia,SeriouslyIll
2020-03-11,0,0,0,0,0,1,0,0,0.0,0
2020-03-12,0,0,0,0,0,1,0,0,0.0,0
2020-03-13,0,0,0,0,0,5,0,0,0.0,0
2020-03-14,0,0,0,0,0,6,0,0,0.0,0
2020-03-15,0,0,0,0,0,18,0,0,0.0,0
2020-03-16,0,0,0,0,0,47,0,0,0.0,0
2020-03-17,0,0,0,0,0,98,1,0,0.0,0
2020-03-18,0,0,0,0,0,191,2,0,0.0,0
2020-03-19,0,0,0,0,0,359,4,0,0.0,0
2020-03-20,0,0,0,0,0,670,9,0,0.0,0
2020-03-21,0,0,0,0,0,947,21,0,0.0,0
2020-03-22,0,0,0,0,0,1236,30,0,0.0,0
2020-03-23,0,0,0,0,0,1529,37,0,0.0,0
2020-03-24,0,0,0,0,0,1872,44,0,0.0,0
2020-03-25,0,0,0,0,0,2433,59,0,0.0,0
2020-03-26,0,0,0,0,0,3629,75,0,0.0,0
2020-03-27,7533,2069,17,0,47823,5698,92,42,0.0,0
2020-03-28,7641,1704,16,0,55464,7402,108,70,0.0,0
2020-03-29,9982,1815,23,0,65446,9217,131,105,0.0,0
2020-03-30,11535,1610,37,0,76981,10827,168,162,0.0,0
2020-03-31,15422,2704,46,0,92403,13531,214,243,0.0,0
2020-04-01,14396,2148,63,0,106799,15679,277,333,0.0,0
2020-04-02,18757,2456,79,0,125556,18135,356,415,0.0,0
2020-04-03,16160,2786,69,0,141716,20921,425,484,0.0,0
2020-04-04,19664,3013,76,302,161380,23934,501,786,0.0,0
2020-04-05,20065,3135,73,256,181445,27069,574,1042,0.0,0
2020-04-06,21400,3148,75,284,202845,30217,649,1326,0.0,0
2020-04-07,20023,3892,76,256,222868,34109,725,1582,0.0,0
2020-04-08,24900,4117,87,264,247768,38226,812,1846,0.0,0
2020-04-09,28578,4056,96,296,276338,42282,908,2142,0.0,0
2020-04-10,30864,4747,98,281,307210,47029,1006,2423,0.0,0
2020-04-11,33170,5138,95,542,340380,52167,1101,2965,0.0,0
2020-04-12,35720,4789,97,481,376100,56956,1198,3446,0.0,0
2020-04-13,34456,4093,98,511,410556,61049,1296,3957,0.0,0
2020-04-14,33070,4062,107,842,443626,65111,1403,4799,0.0,0
2020-04-15,34090,4291,115,875,477716,69392,1518,5674,0.0,0
2020-04-16,40427,4801,125,1415,518143,74193,1643,7089,0.0,0
2020-04-17,40270,4353,126,1542,558413,78546,1769,8631,0.0,0
2020-04-18,40520,3783,121,1822,598933,82329,1890,10453,0.0,0
2020-04-19,35344,3977,127,1523,634277,86306,2017,11976,0.0,0
2020-04-20,39703,4674,123,1454,673980,90980,2140,13430,0.0,0
2020-04-21,39429,4611,119,1488,713409,95591,2259,14918,0.0,0
2020-04-22,37535,3083,117,1559,750944,98674,2376,16477,0.0,0
2020-04-23,40962,3116,115,2014,791906,101790,2491,18491,0.0,0
2020-04-24,38351,3122,109,3246,830257,104912,2600,21737,0.0,0
2020-04-25,38308,2861,106,3845,868565,107773,2706,25582,0.0,0
2020-04-26,30177,2357,99,3558,898742,110130,2805,29140,0.0,0
2020-04-27,20143,2131,95,4651,918885,112261,2900,33791,0.0,0
2020-04-28,29230,2392,92,5018,948115,114653,2992,38809,0.0,0
2020-04-29,43498,2936,89,5231,991613,117589,3081,44022,0.0,0
2020-04-30,42004,2615,93,4846,1033617,120204,3174,48886,0.0,0
2020-05-01,41431,2188,84,4922,1075048,122392,3258,53808,0.0,0
2020-05-02,36318,1983,78,4451,1111366,124375,3336,58259,0.0,0
2020-05-03,24001,1670,61,4892,1135367,126045,3397,63151,0.0,0
2020-05-04,35771,1614,64,5015,1171138,127659,3461,68166,0.0,0
2020-05-05,33283,1832,59,5119,1204421,129491,3520,73285,0.0,0
2020-05-06,30303,2253,64,4917,1234724,131744,3584,78202,0.0,0
2020-05-07,30395,1977,57,4782,1265119,133721,3641,82984,0.0,0
2020-05-08,33687,1848,48,3412,1298806,135569,3689,86396,0.0,0
2020-05-09,35605,1546,50,3084,1334411,137115,3739,89480,0.0,0
2020-05-10,36187,1542,47,3211,1370598,138657,3786,92691,0.0,0
2020-05-11,32722,1114,55,3089,1403320,139771,3841,95780,0.0,0
2020-05-12,37351,1704,53,3109,1440671,141475,3894,98889,0.0,0
2020-05-13,33332,1639,58,2826,1474003,143114,3952,101715,0.0,0
2020-05-14,34821,1635,55,2315,1508824,144749,4007,104030,0.0,0
2020-05-15,38565,1708,48,2103,1547389,146457,4055,106133,0.0,0
2020-05-16,42236,1610,41,2004,1589625,148067,4096,108137,0.0,0
2020-05-17,35369,1368,44,1825,1624994,149435,4140,109962,0.0,0
2020-05-18,25141,1158,31,1615,1650135,150593,4171,111577,0.0,0
2020-05-19,25382,1022,28,1318,1675517,151615,4199,112895,0.0,0
2020-05-20,20838,972,23,1092,1696355,152587,4222,113987,0.0,0
2020-05-21,33633,961,27,1003,1729988,153548,4249,114990,0.0,0
2020-05-22,37507,952,27,1121,1767495,154500,4276,116111,0.0,0
2020-05-23,40178,1186,32,1491,1807673,155686,4308,117602,0.0,0
2020-05-24,24589,1141,32,1092,1832262,156827,4340,118694,0.0,0
2020-05-25,21492,987,29,1321,1853754,157814,4369,120015,0.0,0
2020-05-26,19853,948,28,1492,1873607,158762,4397,121507,0.0,0
2020-05-27,21043,1035,34,1286,1894650,159797,4431,122793,0.0,0
2020-05-28,33559,1182,30,1576,1928209,160979,4461,124369,0.0,0
2020-05-29,36155,1141,28,1594,1964364,162120,4489,125963,0.0,0
2020-05-30,39230,983,26,1021,2003594,163103,4515,126984,0.0,0
2020-05-31,35600,839,25,989,2039194,163942,4540,127973,0.0,0
2020-06-01,31525,827,23,974,2070719,164769,4563,128947,0.0,0
2020-06-02,32325,786,22,974,2103044,165555,4585,129921,0.0,0
2020-06-03,52305,867,24,931,2155349,166422,4609,130852,0.0,0
2020-06-04,54234,988,21,926,2209583,167410,4630,131778,0.0,0
2020-06-05,57829,930,18,1622,2267412,168340,4648,133400,0.0,0
2020-06-06,35846,878,21,1922,2303258,169218,4669,135322,0.0,0
2020-06-07,35335,914,23,2647,2338593,170132,4692,137969,0.0,0
2020-06-08,39361,989,19,3411,2377954,171121,4711,141380,0.0,0
2020-06-09,37225,993,18,3218,2415179,172114,4729,144598,0.0,0
2020-06-10,36521,922,17,2241,2451700,173036,4746,146839,0.0,0
2020-06-11,49190,987,17,1021,2500890,174023,4763,147860,0.0,0
2020-06-12,41013,1195,15,1242,2541903,175218,4778,149102,0.0,0
2020-06-13,45092,1459,14,985,2586995,176677,4792,150087,0.0,0
2020-06-14,45176,1562,15,1330,2632171,178239,4807,151417,0.0,0
2020-06-15,42032,1592,18,947,2674203,179831,4825,152364,0.0,0
2020-06-16,46800,1467,17,1015,2721003,181298,4842,153379,0.0,0
2020-06-17,52901,1429,19,1261,2773904,182727,4861,154640,0.0,0
2020-06-18,48412,1304,21,1382,2822316,184031,4882,156022,0.0,0
2020-06-19,41316,1214,23,1494,2863632,185245,4905,157516,0.0,0
2020-06-20,41112,1248,22,1312,2904744,186493,4927,158828,0.0,0
2020-06-21,40496,1192,23,1412,2945240,187685,4950,169240,0.0,0
2020-06-22,41413,1212,24,1293,2986653,188897,4974,161533,0.0,0
2020-06-23,42982,1268,27,1315,3029635,190165,5001,162848,0.0,0
2020-06-24,53486,1492,24,1386,3083121,191657,5025,164234,0.0,0
2020-06-25,52303,1458,21,1472,3135424,193115,5046,165706,0.0,0
2020-06-26,51198,1396,19,1492,3186622,194511,5065,167198,0.0,0
2020-06-27,45213,1372,17,1984,3231835,195883,5082,169182,0.0,0
2020-06-28,48309,1356,15,1413,3280144,197239,5097,170595,0.0,0
2020-06-29,51014,1374,18,1214,3331158,198613,5115,171809,0.0,0
2020-06-30,50492,1293,16,1302,3381650,199906,5131,173111,0.0,0
2020-07-01,52313,1192,19,2311,3433963,201098,5150,175422,0.0,0
2020-07-02,49714,1186,17,1543,3483677,202284,5167,176965,0.0,0
2020-07-03,52141,1172,19,1313,3535818,203456,5186,178278,0.0,0
2020-07-05,46414,1148,19,1188,3630480,205758,5225,180680,0.0,0
2020-07-06,52193,1086,16,2315,3682673,206844,5241,182995,0.0,0
2020-07-07,50545,1053,19,2297,3733218,207897,5260,185292,0.0,0
2020-07-08,49302,1041,22,2219,3782520,208938,5282,187511,0.0,0
2020-07-09,50103,1024,18,2879,3832623,209962,5300,190390,0.0,0
2020-07-10,48787,1003,23,1493,3881410,210965,5323,191883,0.0,0
2020-07-11,48813,1016,21,1334,3930223,211981,5344,193217,0.0,0
2020-07-12,45232,1012,19,1298,3975455,212993,5363,194515,0.0,0
2020-07-13,46492,1008,19,1156,4021947,214001,5382,195671,0.0,0
2020-07-14,43231,992,20,1049,4065178,214993,5402,196720,0.0,0
2020-07-15,42320,947,17,1013,4107498,215940,5419,197733,0.0,0
2020-07-16,42411,933,21,1087,4149909,216873,5440,198820,0.0,0
2020-07-17,41215,926,18,1014,4191124,217799,5458,199834,0.0,0
2020-07-18,40943,918,17,1179,4232067,218717,5475,201013,0.0,0
2020-07-19,41310,924,16,997,4273377,219641,5491,202010,0.0,0
2020-07-20,43404,931,17,992,4316781,220572,5508,203002,0.0,0
2020-07-21,42846,928,18,1009,4359627,221500,5526,204011,0.0,0
2020-07-22,43404,902,19,1203,4403031,222402,5545,205214,0.0,0
2020-07-23,43343,913,18,1151,4446374,223315,5563,206365,0.0,0
2020-07-24,42986,937,17,1009,4489360,224252,5580,207374,0.0,0
2020-07-25,43312,921,16,1103,4532672,225173,5596,208477,0.0,0
2020-07-26,40016,927,17,1010,4572688,226100,5613,209487,0.0,0
2020-07-27,45283,919,17,982,4617971,227019,5630,210469,0.0,0
2020-07-28,47412,963,15,1092,4665383,227982,5645,211561,0.0,0
2020-07-29,45712,942,14,996,4711095,228924,5659,212557,9.4,542
2020-07-30,43967,967,15,982,4454331,229891,5674,213539,9.3,561
2020-07-31,46492,982,17,996,4800823,230873,5691,214535,8.8,582
2020-08-01,44846,996,19,981,4845669,231869,5710,215516,8.7,586
2020-08-02,40247,987,18,978,4885916,232856,5728,216494,8.5,582
2020-08-03,41301,995,19,1003,4927217,233851,5747,217497,8.4,580
2020-08-04,46249,1083,18,994,4973466,234934,5765,218491,8.5,583
2020-08-05,53842,1178,19,1015,5027308,236112,5784,219506,8.4,582
2020-08-06,54494,1153,14,1040,5081802,237265,5798,220546,8.3,580
2020-08-07,56726,1185,15,1028,5138528,238450,5813,221574,8.3,586
2020-08-08,63842,1172,16,1082,5202370,239622,5829,222656,8.1,587
2020-08-09,61446,1182,15,1103,5263816,240804,5844,223759,8.1,596
2020-08-10,62219,1193,14,1211,5326035,241997,5858,224970,8.2,603
2020-08-11,61716,1183,15,1185,5387751,243180,5873,226155,8.2,617
2020-08-12,67237,1212,18,934,5454988,244392,5891,227089,8.2,632
2020-08-13,66892,1243,21,968,5521880,245635,5912,228057,7.9,647
2020-08-14,70192,1226,22,923,5592072,246861,5934,228980,7.8,656
2020-08-15,67214,1256,21,992,5659286,248117,5955,229972,7.6,668
2020-08-16,65956,1192,19,997,5725242,249309,5974,230969,7.6,679
2020-08-17,74846,1223,22,1002,5800088,250524,5996,231971,7.5,686
2020-08-18,82318,1263,20,942,5882406,251805,6016,232913,7.5,703
2020-08-19,87223,1303,23,1002,5969629,253108,6039,233915,7.4,719
2020-08-20,92301,1412,19,882,6061930,254520,6058,234797,7.3,735
2020-08-21,92227,1203,22,772,6154157,255723,6080,235569,7.3,749
2020-08-22,93007,1309,22,801,6247164,257032,6102,236370,7.4,762
2020-08-23,80302,1217,19,795,6327466,258249,6121,237165,7.5,783
2020-08-24,95943,1443,18,743,6423409,259692,6139,237908,7.4,796
2020-08-25,98231,1502,24,887,6521640,261194,6163,238795,7.4,811
2020-08-26,100109,1313,20,1002,6621749,262507,6183,239797,7.4,841
2020-08-27,106111,1491,26,995,6727860,263998,6209,240792,7.3,862
2020-08-28,107814,1517,36,1017,6835674,265515,6245,241809,7.4,896
2020-08-29,101414,1549,39,1003,6937088,267064,6284,242812,7.4,917
2020-08-30,91302,1482,42,1027,7028390,268546,6326,243839,7.5,945
2020-08-31,110102,1587,44,1087,7138492,270133,6370,244926,7.5,961
2020-09-01,109443,1572,47,1003,7247935,271705,6417,245929,7.6,991
2020-09-02,107927,1596,45,947,7355862,273301,6462,246876,7.6,1017
2020-09-03,110225,1642,49,1211,7466087,274943,6511,248087,7.6,1041
2020-09-04,117113,1612,53,1021,7583200,276555,6564,249108,7.5,1076
2020-09-05,99497,1673,56,984,7682697,278228,6620,250092,7.5,1091
2020-09-06,96842,1578,53,1013,7779539,279806,6673,251105,7.6,1102
2020-09-07,103925,1703,57,1047,7883464,281509,6730,252152,7.6,1118
2020-09-08,110565,1761,52,1093,7994029,283270,6782,253245,7.5,1159
2020-09-09,111193,1673,55,943,8105222,284943,6837,254188,7.4,1181
2020-09-10,107702,1512,58,1219,8212924,286455,6895,255407,7.3,1209
2020-09-11,112213,1671,56,1117,8325137,288126,6951,256524,7.3,1223
2020-09-12,98326,1509,48,1207,8423463,289635,6999,257731,7.2,1241
2020-09-13,96097,1527,57,1102,8519560,291162,7056,258833,7.2,1267
2020-09-14,112563,1716,63,1225,8632123,292878,7119,260058,7.1,1301
2020-09-15,110412,1742,67,1202,8742535,294620,7186,261260,7.1,1327
2020-09-16,112645,1771,63,1342,8855180,296391,7249,262602,7.1,1351
2020-09-17,109985,1648,66,1143,8965165,298039,7315,263745,7.1,1372
2020-09-18,111113,1771,62,1060,9076278,299810,7377,264805,7.1,1402
2020-09-19,97416,1538,68,1312,9173694,301348,7445,266117,7.0,1432
2020-09-20,95321,1519,61,1116,9269015,302867,7506,267233,7.0,1456
2020-09-21,112942,1743,68,1202,9381957,304610,7574,268435,6.8,1491
2020-09-22,114311,1692,65,1261,9496268,306302,7639,269696,6.7,1522
2020-09-23,112102,1767,72,1027,9608370,308069,7711,270723,6.7,1561
2020-09-24,113317,1721,74,1241,9721687,309790,7785,271964,6.6,1573
2020-09-25,112885,1665,73,1318,9834572,311455,7858,273282,6.6,1601
2020-09-26,102009,1511,71,1232,9936581,312966,7929,274514,6.6,1615
2020-09-27,101119,1467,68,1116,10037700,314433,7997,275630,6.5,1583
2020-09-28,115523,1412,65,1422,10153223,315845,8062,277052,6.5,1596
2020-09-29,114940,1427,68,1452,10268163,317272,8130,278504,6.5,1583
2020-09-30,112098,1391,65,1245,10380261,318663,8195,279749,6.4,1516
2020-10-01,113546,1407,67,1402,10493807,320070,8262,281151,6.4,1507
2020-10-02,114857,1442,63,1506,10608664,321512,8325,282657,6.4,1455
2020-10-03,103219,1502,59,1211,10711883,323014,8384,283868,6.4,1470
2020-10-04,104402,1429,57,1182,10816285,324443,8441,285050,6.4,1475
2020-10-05,115632,1603,57,1320,10931917,326046,8498,286370,6.2,1412
2020-10-06,112421,1511,55,1229,11044338,327557,8553,287599,6.2,1414
2020-10-07,116608,1581,56,1355,11160946,329138,8609,288954,6.2,1411
2020-10-08,117101,1615,58,1398,11278047,330753,8667,290352,6.2,1403
2020-10-09,115295,1629,55,1402,11393342,332382,8722,291754,6.2,1398
2020-10-10,113102,1649,56,1391,11506444,334031,8778,293145,6.2,1414
2020-10-11,109301,1502,59,1212,11615745,335533,8837,294357,6.2,1411
2020-10-12,115605,1614,58,1301,11731350,337147,8895,295658,5.9,1417
2020-10-13,114992,1632,62,1314,11846342,338779,8957,296972,5.9,1416
2020-10-14,115328,1671,57,1396,11961670,340450,9014,298368,5.9,1418
